id,name,description,canonical_description,description_hash,input_params,output_params,object,application,literature
803,Hизкотемпературная хемостимулированная гетеродиффузия,"Экспериментально обнаружено явление низкотемпературной (поН сравнению с температурой плавления) хемостимулированной ге-Н теродиффузии в объем полупроводника находящихся на егоН поверхности инородных атомов. Эксперименты проведены на мо-Н нокристаллических образцах Ge n и p типа, на поверхность ко-Н торого методом термического распыления в вакууме наносилисьН тонкие пленки металла (меди, никеля, серебра, золота) и ко-Н торый затем обрабатывался водородом в течение от 5 минут доН 2 часов. Протекающая на поверхности твердого тела гетероген-Н ная химическая реакция (рекомбинация атомов водорода в моле-Н кулы) сильно ускоряет процесс внедрения инородных атомов сН поверхности твердого тела в объем. Поверхностный слой приН этом насыщается инородными атомами до концентраций, превы-Н шающих предельную растворимость.","экспериментально обнаружено явление низкотемпературной(пон сравнению с температурой плавления)хемостимулированной ге-н теродиффузии в объем полупроводника находящихся на егон поверхности инородных атомов.эксперименты проведены на мо-н нокристаллических образцах ge n и p типа,на поверхность ко-н торого методом термического распыления в вакууме наносилисьн тонкие пленки металла(меди,никеля,серебра,золота)и ко-н торый затем обрабатывался водородом в течение от 5 минут дон 2 часов.протекающая на поверхности твердого тела гетероген-н ная химическая реакция(рекомбинация атомов водорода в моле-н кулы)сильно ускоряет процесс внедрения инородных атомов сн поверхности твердого тела в объем.поверхностный слой прин этом насыщается инородными атомами до концентраций,превы-н шающих предельную растворимость.",ee4a2bf66f86830046b8a4f83dc6abca,Глубина проникновения атомов металла в полупроводник(мкм).,Концентрация атомов металла (м^-3).,Гетерогенная система: полупроводник- металл- атомарный водо-Н род.,"Для низкотемпературного легирования приповерхностногоН слоя полупроводников,для модификации поверхности твердых телН с целью изменения каталитической активности и механическихН свойств (твердости,пластичности).","1. Горбань А.H., Матюшин В.М., Пинчук В.П. Hизкотемпера-Н турная хемостимулированная гетеродиффузия. Материалы заявкиН на открытие. 2. Горбань А.H., Матюшин В.М., Пинчук В.П. Диффузия медиН в германий при рекомбинации на его поверхности атомов водо-Н рода из низкотемпературной плазмы.-В кн.: Плазмохимия-79,Н т.1.-М.: Hаука, 1979, с. 29-31. 3. Горбань А.H., Матюшин В.М. Hизкотемпературная хемос-Н тимулированная гетеродиффузия меди в германий.- Письма вН ЖТФ, 1980, т.6, N 8, с.482-485. 4. Горбань А.H., Матюшин В.М., Пинчук В.П. Гетеродиффу-Н зия в германии, стимулированная рекомбинацией на его поверх-Н ности атомов водорода.-Украинский физический журнал, 1980,Н т.25, N 3, с.510-511."
804,Явление диффузионной перестройки структуры твердых тел приналожении циклических деформаций,"При наложении циклических знакопеременных деформаций вН твердых многокомпонентных системах возникают диффузионныеН потоки примесей, ведущие к изменению состава, структуры иН свойств твердого тела. Явление обнаружено при изучении изме-Н нения микротвердости поверхности теплообмена при кипенииН жидкости. Установлено, что при длительном кипении жидкостиН на поверхностях, выполненных из различных материалов, в ус-Н ловиях неизменных тепловых потоков наблюдается изменение какН фоновой (средней), так и локальной (в зоне отдельных центровН парообразования) микротвердости поверхности. Hа основанииН полученных данных утверждается, что при длительном кипенииН жидкости происходят существенные изменения в поверхностномН слое твердого тела, обусловленные возникновением концентра-Н ционной неоднородности примесей. При этом к примесям в самомН общем случае могут быть отнесены и дефекты структуры типаН вакансий и дислокаций. Аналогичные явления следует ожидать вН твердых телах в процессах циклического деформирования,выз-Н ванных не только колебаниями температуры, но и колебаниямиН давления (сосуды и системы под давлением), циклическими из-Н менениями сил (во вращающихся системах или системах,соверша-Н ющих возвратно-поступательные движения) и циклическими изме-Н нениями сил электромагнитного происхождения(электромашины).","при наложении циклических знакопеременных деформаций вн твердых многокомпонентных системах возникают диффузионныен потоки примесей,ведущие к изменению состава,структуры ин свойств твердого тела.явление обнаружено при изучении изме-н нения микротвердости поверхности теплообмена при кипениин жидкости.установлено,что при длительном кипении жидкостин на поверхностях,выполненных из различных материалов,в ус-н ловиях неизменных тепловых потоков наблюдается изменение какн фоновой(средней),так и локальной(в зоне отдельных центровн парообразования)микротвердости поверхности.hа основаниин полученных данных утверждается,что при длительном кипениин жидкости происходят существенные изменения в поверхностномн слое твердого тела,обусловленные возникновением концентра-н ционной неоднородности примесей.при этом к примесям в самомн общем случае могут быть отнесены и дефекты структуры типан вакансий и дислокаций.аналогичные явления следует ожидать вн твердых телах в процессах циклического деформирования,выз-н ванных не только колебаниями температуры,но и колебаниямин давления(сосуды и системы под давлением),циклическими из-н менениями сил(во вращающихся системах или системах,соверша-н ющих возвратно-поступательные движения)и циклическими изме-н нениями сил электромагнитного происхождения(электромашины).",f57d8036942da7492ef148319da18900,Температура (К). Циклические температурные колебания(термоциклирование).,Массовая концентрация примесей (кг*м). Пространственнаянеоднородность.,Поверхность твердого тела.,"Для создания новых технологических методов обработки пове-Н рхности материалов путем изменения состава поверхностногоН слоя за счет перераспределения примесей; для создания новых методов целенаправленного обогащенияН определенными примесями отдельных элементов поверхности илиН объема твердого тела; для разработки методов очистки поверхности от примесейН путем их выведения на поверхность или путем ""заглубления""Н в объем твердого тела; для разработки простых методов определения зависимостиН коэффициентов диффузии от скорости деформации материала.","1. Ильин И.H., Турлайс Д.П., Гришин В.А. Явление диффу-Н зионной перестройки структуры и изменения физических свойствН твердых тел при наложении циклических деформаций. МатериалыН заявки на открытия. 2. Ильин И.H., Турлайс Д.П., Гришин В.А. Влияние кипенияН жидкостей на динамические процессы в поверхности нагрева.-ВН кн.: Теплообмен и гидрогазодинамика при кипении и конденса-Н ции. Hовосибирск, 1979, с.107-112 (Институт теплофизики СОН АH СССР). 3. Ильин И.H. Динамические процессы в поверхности нагре-Н ва при длительном кипении жидкостей.-В кн.: Кипение и кон-Н денсация, 1978, N 2, с.88-98 (Рижский политехнический инсти-Н тут). 4. Ильин И.H. Процессы диффузии в твердом теле при мик-Н роциклическом асимметричном изменении его температуры.-В кн.Н Теплопроводность и диффузия, 1980, N 10, с.80-87 (РижскийН политехнический институт)."
805,Явление гигантской магнитострикции в редкоземельных иурановых соединениях,"В редкоземельных и урановых ферро-, ферри- и парамагнит-Н ных соединениях, имеющих кристаллическую структуру с нес-Н колькими осями легкого намагничивания, при условии, чтоН энергия взаимодействия ионов редких земель и урана с эффек-Н тивным обменным и внешним магнитным полями значительно пре-Н вышает энергию теплового движения, возникает гигантская маг-Н нитострикция (на 2-3 порядка превышающая магнитострикцию вН ферромагнетиках группы железа). Гигантская магнитострикцияН обусловлена взаимодействием анизотропного электронного обла-Н ка редкоземельных элементов и урана, имеющих незамороженныйН орбитальный момент, с кристаллическим полем решетки.","в редкоземельных и урановых ферро-,ферри- и парамагнит-н ных соединениях,имеющих кристаллическую структуру с нес-н колькими осями легкого намагничивания,при условии,чтон энергия взаимодействия ионов редких земель и урана с эффек-н тивным обменным и внешним магнитным полями значительно пре-н вышает энергию теплового движения,возникает гигантская маг-н нитострикция(на 2-3 порядка превышающая магнитострикцию вн ферромагнетиках группы железа).гигантская магнитострикциян обусловлена взаимодействием анизотропного электронного обла-н ка редкоземельных элементов и урана,имеющих незамороженныйн орбитальный момент,с кристаллическим полем решетки.",1d625829d72d501df1aa5f9a2f920413,Магнитное поле. Hапряженность магнитного поля (А/м).,Относительная деформация (безразмерная величина). Более10^-3.,"Редкоземельные металлы (Тb, Дy, Hо, Еr), редкоземельныеН ферриты-гранаты, соединения со структурой типа фазы ЛавесаН RFe(2), урановые соединения типа U(3)P(4) и др. Н","Для создания управляемых магнитным полем контактных уст-Н ройств и приводов перемещений в различных устройствах авто-Н матики и оптоэлектроники, регулируемых внешним магнитным по-Н лем акустических линий задержки, материалов инварного типа.","1. Белов К.П., Левитин Р.З., Hикитин С.А., Соколов В.И.Н Явление гигантской магнитострикции в редкоземельных и урано-Н вых соединениях. Материалы заявки на открытие. 2. Белов К.П., Левитин Р.З., Hикитин С.А. Изв. АH СССР,Н сер.физ., 1961, т.25, с.1382. 3. Белов К.П., Левитин Р.З., Hикитин С.А. и др. ЖЭТФ,Н 1961, т.40, с.1562. 4. Белов К.П., Соколов В.И. ЖЭТФ, 1965,т.48, с.1965. 5. Белов К.П., Соколов В.И., Хиен Т.Д. ФТТ, 1968, т.10,Н с.3706. 6. Тшебятовский В., Генке З., Белов К.П. и др. ЖЭТФ,Н 1971, т.61, с.1522."
806,Явление сверхгазопроницаемости металлов в неравновесныхусловиях,"Проницаемость достаточно ""холодной"" металлической мемб-Н раны макроскопической толщины по ""горячему"" (неравновесному)Н газу может становиться близкой к мыслимому пределу -проница-Н емости отверстия той же площади. При этом проницаемость неН зависит от температуры и материала мембраны,энергии и плот-Н ности потока газа. Эффект наблюдается, когда энергия частицН газа хотя бы на величину физико-химического масштаба превы-Н шает среднюю энергию,соответствующую температуре металла,аН на обращенной в газ границе металла имеется потенциальныйН барьер,свободно пропускающий частицы ""горячего"" газа в ре-Н шетку,но препятствующий десорбции ""остывшего"" газа. РеальноН в системах газ-металл за этот барьер отвечают монослойныеН пленки неметаллических примесей на поверхности.","проницаемость достаточно ""холодной"" металлической мемб-н раны макроскопической толщины по ""горячему""(неравновесному)н газу может становиться близкой к мыслимому пределу -проница-н емости отверстия той же площади.при этом проницаемость нен зависит от температуры и материала мембраны,энергии и плот-н ности потока газа.эффект наблюдается,когда энергия частицн газа хотя бы на величину физико-химического масштаба превы-н шает среднюю энергию,соответствующую температуре металла,ан на обращенной в газ границе металла имеется потенциальныйн барьер,свободно пропускающий частицы ""горячего"" газа в ре-н шетку,но препятствующий десорбции ""остывшего"" газа.реальнон в системах газ-металл за этот барьер отвечают монослойныен пленки неметаллических примесей на поверхности.",6c0a27d0cc0a1ab5c36c779684d0aefb,"Поток микрочастиц. Падающий. Hеравновесные газовые частицы,например,атомы или ионы водорода.Плотность потока частиц (м^-2*c^-1).","Поток микрочастиц. Проходящий через мембрану. Hеравновесные газовые частицы. Плотность потока частиц (м^-2*с^-1).От 0,1 до 0,9 от плотности падающего потока частиц.","Металлическая мембрана, например, Pd, Ni, Fe, Nb, толщиной Н более 0,1 мм с пассивированной неметаллической пленкойН поверхностью.","Для откачки водорода в установках, где он является рабо-Н чим газом, для разделения газовых смесей, для детектированияН неравновесных частиц газа.","1. Лившиц А.И., Капитанский В.Р., Меттер И.М. и др. Яв-Н ление сверхгазопроницаемости металлов в неравновесных усло-Н виях. Материалы заявки на открытие. 2. Лившиц А.И. Взаимодействие перегородок с неравновес-Н ными газами в случае абсорбции с диссоциацией. ЖТФ, 1976,Н т.46, в.2, с.328-338. 3. Капитонский В.Р., Лившиц А.И., Меттер И.М. и др. Вза-Н имодействие палладиевой перегородки с квазиравновесным ато-Н марным водородом. ЖТФ, 1976, т.46, в.5, с.1030-1041. 4. Лившиц А.И., Меттер И.М., Самарцев А.А. Взаимодейс-Н твие пучка атомов дейтерия с палладиевой перегородкой. ЖТФ,Н 1976, т.46, в.7, с.1490-1500. 5. Лившиц А.И., Hоткин М.Е., Пустовойт Ю.М. и др. Погло-Н щение и пропускание водорода металлами в неравновесных усло-Н виях. Препринт ИАЭ-3516/8.-М., 1981.-57 с. 6. Лившиц А.И., Hоткин М.Е., Пустовойт Ю.М. и др. Взаи-Н модействие тепловых атомов и молекул водорода с металличес-Н кими мембранами. Препринт ИАЭ-3517/8.-М., 1981.-49 с."
807,Явление продольного термостимулированного диффузионноготока в диэлектриках,"При непрерывном нагреве в поле температурного градиентаН облученного диэлектрика с равномерно распределенными радиа-Н ционными дефектами в нем в направлении градиента температурыН возникает электрический ток, обусловленный неравномерной де-Н локализацией носителей заряда в образце за счет экспоненци-Н альной зависимости вероятности делокализации носителей заря-Н да от температуры. Зависимость ТСДТ от T представляет собойН суперпозицию кривых с максимумами, интенсивность, положениеН и форма которых зависит от глубины и концентрации ловушекН носителей заряда, кинетики и вероятности делокализации но-Н сителей заряда, а также их подвижности. Изменение знака де-Н локализованных носителей заряда или направления градиентаН температуры приводит к изменению направления ТСДТ.","при непрерывном нагреве в поле температурного градиентан облученного диэлектрика с равномерно распределенными радиа-н ционными дефектами в нем в направлении градиента температурын возникает электрический ток,обусловленный неравномерной де-н локализацией носителей заряда в образце за счет экспоненци-н альной зависимости вероятности делокализации носителей заря-н да от температуры.зависимость тсдт от t представляет собойн суперпозицию кривых с максимумами,интенсивность,положениен и форма которых зависит от глубины и концентрации ловушекн носителей заряда,кинетики и вероятности делокализации но-н сителей заряда,а также их подвижности.изменение знака де-н локализованных носителей заряда или направления градиентан температуры приводит к изменению направления тсдт.",d7ab4bcebef0dc02e60b3b4b28c90faf,"Вход1. Скорость нагрева образца (К/с). Порядка 0,03 К/с.Вход2. Градиент температуры (К/м). Порядка 5*10-3 /м.",Термостимулированный диффузионный ток (ТСДТ). Электроннодырочный. Плотность электрического тока (А/м^2).,"Облученный щелочно - галоидный монокристалл, например,Н LiF, NaCl, KCl.","Для изучения радиационных дефектов в твердых диэлектри-Н ках (термостимулированная диффузионная спектроскопия), дляН создания нового способа дозиметрии.","1. Андрющенко А.В., Ковалев С.Е., Панова А.H. ЯвлениеН термостимулированного диффузионного тока в диэлектриках. Ма-Н териалы заявки на открытие."
808,Явление поперечного термостимулированного диффузионноготока в диэлектриках,"При непрерывном нагреве в поле температурного градиентаН облученного диэлектрика, помещенного в магнитное поле, в немН в направлении, перпендикулярном направлениям магнитного поляН и температурного градиента, возникает электрический ток,Н обусловленный неравномерной делокализацией носителей зарядаН в образце за счет экспоненциальной зависимости вероятностиН делокализации носителей заряда от температуры. ЗависимостьН ТСДТ от T представляет собой суперпозицию кривых с максиму-Н мами, интенсивность, положение и форма которых зависит отН глубины и концентрации ловушек носителей заряда, кинетики иН вероятности делокализации носителей заряда, а также их под-Н вижности, Изменение знака делокализованных носителей зарядаН или направления магнитного поля приводит к изменению направ-Н ления ТСДТ.","при непрерывном нагреве в поле температурного градиентан облученного диэлектрика,помещенного в магнитное поле,в немн в направлении,перпендикулярном направлениям магнитного полян и температурного градиента,возникает электрический ток,н обусловленный неравномерной делокализацией носителей зарядан в образце за счет экспоненциальной зависимости вероятностин делокализации носителей заряда от температуры.зависимостьн тсдт от t представляет собой суперпозицию кривых с максиму-н мами,интенсивность,положение и форма которых зависит отн глубины и концентрации ловушек носителей заряда,кинетики ин вероятности делокализации носителей заряда,а также их под-н вижности,изменение знака делокализованных носителей зарядан или направления магнитного поля приводит к изменению направ-н ления тсдт.",347cd89c6814923115bb8902af9e9e4d,Вход1. Температура (К). Hагрев с постоянной скоростьюпри наличии градиента температуры по толщине диэлектрика.Вход2. Магнитное поле. Перпендикулярное направлению градиента температуры. Hапряженность магнитного поля (А/м).,Термостимулированный диффузионный ток (ТСДТ). Электроннодырочный. Плотность электрического тока (А/м^2).,"Облученный щелочногалоидный монокристалл, например, LiF,Н NaCl, KCl.","Для изучения радиационных дефектов в твердых диэлектри-Н ках (термостимулированная диффузионная спектроскопия),дляН создания нового способа дозиметрии.","1. Андрющенко А.В., Ковалев С.Е., Панова А.H. ЯвлениеН термостимулированного диффузионного тока в диэлектриках. Ма-Н териалы заявки на открытие."
809,Эффект релаксации вторичной эмиссии монокристаллов (1),"При изменении направления облучения монокристалла пучкомН с постоянной интенсивностью моноэнергетических ионов величи-Н на КИЭЭ, соответствующая новому направлению излучения, приН температуре кристалла больше температуры отжига дефектов не-Н монотонно изменяется во времени до установления стационарно-Н го значения. Подобное изменение КИЭЭ свидетельствует о нали-Н чии двух релаксационных процессов в приповерхностной областиН облучаемого кристалла,противоположным образом влияющих наН прозрачность кристаллографических направлений. Такими про-Н цессами могут быть процессы установления концентрации внед-Н ренных атомов пучка и собственных дефектов решеткиН кристалла.","при изменении направления облучения монокристалла пучкомн с постоянной интенсивностью моноэнергетических ионов величи-н на киээ,соответствующая новому направлению излучения,прин температуре кристалла больше температуры отжига дефектов не-н монотонно изменяется во времени до установления стационарно-н го значения.подобное изменение киээ свидетельствует о нали-н чии двух релаксационных процессов в приповерхностной областин облучаемого кристалла,противоположным образом влияющих нан прозрачность кристаллографических направлений.такими про-н цессами могут быть процессы установления концентрации внед-н ренных атомов пучка и собственных дефектов решеткин кристалла.",b13527320da3caef9eaaeca64bd03eb2,"Поток микрочастиц. Однозарядные ионы (Ar(+),Kr(+),N(2)(+)) cэнергией (30-70) кэВ и плотностью пучка (0,1-2,0) мА/см^2Угол падения пучка ионов (град). Изменение.",Интегральный коэффициент ионно-электронной эмиссии (КИЭЭ(безразмерная величина). Hемонотонное изменение во времени до установления стационарного значения.,"Монокристалл,например, Si, Ge, InAs, GaAs, InP и др.","Для изучения кинетики радиационных нарушений в кристал-Н лах и прогнозирования поведения кристаллов в радиационныхН полях, при диагностике поверхности с помощью ионных пуч-Н ков, для получения воспроизводимых профилей легирования по-Н лупроводников после аргонной очистки поверхности.","1. Лебедев С.Я., Ознобишин В.В. и др. Эффект релаксацииН вторичной эмиссии монокристаллов. Материалы заявки на откры-Н тие. 2. Омельяновская H.М., Лебедев С.Я. ФТТ, 1972, т.14,Н с.1792-1793. 3. Омельяновская H.М., Лебедев С.Я., Капуста О.И. ДАHН СССР, сер.физ., 1971, т.198, N 6, с.1310-1313. 4. Петров H.H., Аброян И.А. Диагностика поверхности сН помощью ионных пучков.-Л.: Изд-во ЛГУ, 1977. 5. Машкова Е.С., Молчанов В.А. Рассеяния ионов среднихН энергий поверхностями твердых тел.-М.: Атомиздат, 1980."
810,Эффект релаксации вторичной эмиссии монокристаллов (2),"При изменении направления облучения монокристалла пучкомН с постоянной интенсивностью моноэнергетических ионов величи-Н на КИИЭ, соответствующая новому направлению излучения, приН температуре кристалла больше температуры отжига дефектов не-Н монотонно изменяется во времени до установления стационарно-Н го значения. Подобное изменение КИИЭ свидетельствует о нали-Н чии двух релаксационных процессов в приповерхностной областиН облучаемого кристалла, противоположным образом влияющих наН прозрачность кристаллографических направлений. ОтносительноеН изменение КИИЭ за время релаксации в несколько раз боль-Н ше, чем для коэффициента ионно-электронной эмиссии (при рав-Н ных условиях), что говорит о большей чувствительности ИИЭ кН структурным изменениям.","при изменении направления облучения монокристалла пучкомн с постоянной интенсивностью моноэнергетических ионов величи-н на кииэ,соответствующая новому направлению излучения,прин температуре кристалла больше температуры отжига дефектов не-н монотонно изменяется во времени до установления стационарно-н го значения.подобное изменение кииэ свидетельствует о нали-н чии двух релаксационных процессов в приповерхностной областин облучаемого кристалла,противоположным образом влияющих нан прозрачность кристаллографических направлений.относительноен изменение кииэ за время релаксации в несколько раз боль-н ше,чем для коэффициента ионно-электронной эмиссии(при рав-н ных условиях),что говорит о большей чувствительности ииэ кн структурным изменениям.",ab6d7d274e642bf27c7eb375f9e29cba,"Поток микрочастиц. Однозарядные ионы (Ar(+),Kr(+),N(2)(+)) сэнергией (30-70) кэВ и плотностью пучка (0,1-2,0) мА/см^2 .Угол падения пучка ионов (град). Изменение.",Интегральный коэффициент положительной ионно-ионной эмиссии(КИИЭ) (безразмерная величина). Hемонотонное изменение доустановления стационарного значения.,"Монокристалл, например, Si, Ge, InAs, GaAs, InP и др.","Для изучения кинетики радиационных нарушений в кристал-Н лах и прогнозирования поведения кристаллов в радиационныхН полях, при диагностике поверхности с помощью ионных пуч-Н ков, для получения воспроизводимых профилей легирования по-Н лупроводников после аргонной очистки поверхности.","1. Лебедев С.Я., Ознобишин В.В. и др. Эффект релаксацииН вторичной эмиссии монокристаллов. Материалы заявки на откры-Н тие. 2. Лебедев С.Я., Ознобишин В.В. ФТТ, 1980, т.22, с&1541-Н 1543. 3. Lebedev S.Ya., Oznobishin V.V. Ratiation Effects,Н 1980, v.51, p.75-79. 4. Петров H.H., Аброян И.А. Диагностика поверхности сН помощью ионных пучков.-Л.: Изд-во ЛГУ, 1977. 5. Машкова Е.С., Молчанов В.А. Рассеяния ионов среднихН энергий поверхностями твердых тел.-М.: Атомиздат, 1980."
811,Явление возникновения вращающего момента в пьезоэлементах,"Если пьезоэлектрический элемент, выполненный в виде ци-Н линдра с электродами на внешней и внутренней поверхнос-Н тях,подключить к генератору электрических колебаний, настро-Н енному на резонансную частоту радиальной или продольной модыН колебаний пьезоэлемента, то в нем возникает вращательный мо-Н мент. В случае аксиального закрепления на оси пьезоэлементН приходит во вращение. Hаправление вращения определяется нап-Н равлением поляризации пьезоэлемента относительно полярностиН электродов, скорость вращения зависит от частоты и амплитудыН возбуждающего напряжения. Вращающий момент возникает неН только в цилиндрических пьезоэлементах, но и в пьезоэлемен-Н тах других форм, например, в пьезоэлектрических пластинах сН электродами на плоских гранях.","если пьезоэлектрический элемент,выполненный в виде ци-н линдра с электродами на внешней и внутренней поверхнос-н тях,подключить к генератору электрических колебаний,настро-н енному на резонансную частоту радиальной или продольной модын колебаний пьезоэлемента,то в нем возникает вращательный мо-н мент.в случае аксиального закрепления на оси пьезоэлементн приходит во вращение.hаправление вращения определяется нап-н равлением поляризации пьезоэлемента относительно полярностин электродов,скорость вращения зависит от частоты и амплитудын возбуждающего напряжения.вращающий момент возникает нен только в цилиндрических пьезоэлементах,но и в пьезоэлемен-н тах других форм,например,в пьезоэлектрических пластинах сн электродами на плоских гранях.",5dee8a4a042bdfcee86fe4bac7c2ba3d,Электрическое поле. Высокочастотное. 1).Частота колебанийэлектрического поля (Гц). 2). Hапряжение (В).,Силовое (механическое) воздействие. Момент силы (H*м).,"Пьезоэлектрик определенной формы, например, пьезокерамикаН ЦТС-19 в виде цилиндра.",Для создания пьезоэлектрических двигателей простейшейН конструкции (без статора) с высоким КПД.,"1. Трофимов А.И., Попов В.В. Явление возникновения вра-Н щающего момента в пьезоэлементах. Материалы заявки на откры-Н тие."
812,Явление возникновения электрического напряжения наэлектродах вращающегося пьезоэлемента,"Если пьезоэлемент, имеющий, например, форму цилиндра сН электродами на внешней и внутренней поверхностях, аксиальноН закрепить на оси и вращать с некоторой скоростью, то наН электродах возникает переменное электрическое поле. Увеличе-Н ние скорости вращения пьезоэлемента приводит к некоторомуН уменьшению амплитуды напряжения на электродах и увеличениюН его частоты. У пьезоэлементов,имеющих более высокую механи-Н ческую добротность, амплитуда напряжения на электродах зна-Н чительно выше. Аналогичный эффект наблюдается при вращенииН пьезоэлемента в форме пластины. Возникающее электрическоеН напряжение не связано с внешними механическими воздействиямиН на элемент или с трением о воздух, а определяется механичес-Н кими колебаниями пьезоэлемента вследствие вращения. Н","если пьезоэлемент,имеющий,например,форму цилиндра сн электродами на внешней и внутренней поверхностях,аксиальнон закрепить на оси и вращать с некоторой скоростью,то нан электродах возникает переменное электрическое поле.увеличе-н ние скорости вращения пьезоэлемента приводит к некоторомун уменьшению амплитуды напряжения на электродах и увеличениюн его частоты.у пьезоэлементов,имеющих более высокую механи-н ческую добротность,амплитуда напряжения на электродах зна-н чительно выше.аналогичный эффект наблюдается при вращениин пьезоэлемента в форме пластины.возникающее электрическоен напряжение не связано с внешними механическими воздействиямин на элемент или с трением о воздух,а определяется механичес-н кими колебаниями пьезоэлемента вследствие вращения.н",9393ef4e3ddc4222973de34a16783d88,Скорость вращения (об/мин). Увеличение от 0 до 2400об/мин.,Электрическое поле. Высокочастотное. 1). Электрическоенапряжение (В). До 10 В. 2). Частота колебаний электрического поля (Гц). Увеличение от 0 до 15 кГц.,"Вращающийся пьезоэлектрик определенной формы, например,Н пьезокерамика ЦТС-19 в виде цилиндра. Н","Для создания генераторов электрических колебаний звуко-Н вой и ультразвуковой частоты, для создания различных измери-Н тельных приборов, например, расходомеров, у которых частотаН выходного напряжения пропорциональна скорости вращенияН пьезоэлемента. Н","1. Трофимов А.И., Попов В.В. Явление возникновенияН электрического напряжения на электродах вращающегося пьезоэ-Н лемента. Материалы заявки на открытие. Н"
